BROKER,CODENVASE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
CHENS SUN GROUP,P0232087,12,,86.05743228435908,98.22745532535322,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,13,,590.4204459556415,739.5982371036159,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,14,,-149.2751063625455,-52.413856895635114,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P0232087,15,,105.41545760614994,209.70969767006147,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,3,,-17.349078448340514,17.088691908184092,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,4,,-0.1306878576308545,0.5098772561800767,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,5,,-5.6222495281543035,0.26891400730295745,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,6,,24.152741430758294,33.92987003239078,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,7,,-0.26144529640053327,0.057301552588364335,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,8,,0.40341982589875675,0.7926504385401733,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,9,,1.4943426371334323,2.5322119272305583,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,10,,-0.5666007022580768,0.04345445290419103,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,11,,-0.3675398262043206,0.749424882793234,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,12,,0.6457458216156806,0.8619964688908476,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,13,,-0.609588419378231,-0.3551866373441385,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,14,,-46.61949970155568,85.1962815704903,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,P2532103,15,,-874.7600474764081,1260.3049677972633,9045,6,SIN SOPORTE,0
COUSH - CHAOQI,C0535096,3,1.040994602005469,0.23990992018187218,1.8420792838290496,8955,6,MEJOR,91
COUSH - CHAOQI,C0535096,4,6.532049068289009,5.774178150790803,7.289919985787257,8955,6,MEJOR,66
COUSH - CHAOQI,C0535096,5,1.579063815413222,0.8595771692886338,2.298550461537769,8955,6,MEJOR,226
COUSH - CHAOQI,C0535096,6,0.18703276867362817,-0.3737122506455064,0.7477777879927591,8955,6,INCIERTO,286
COUSH - CHAOQI,C0535096,7,0.7383701541693384,0.4101074998747682,1.066632808373293,8955,6,MEJOR,279
COUSH - CHAOQI,C0535096,8,1.2378279674455293,1.0494130514403857,1.4262428834608194,8955,6,MEJOR,180
COUSH - CHAOQI,C0535096,9,7.365637999916263,6.2758589173143,8.455417082518258,8955,6,MEJOR,131
COUSH - CHAOQI,C0535096,10,0.0650113932788372,-0.18112694944228397,0.3111497434505389,8955,6,INCIERTO,25
COUSH - CHAOQI,C0535096,11,-0.05567944443565054,-1.1462858391033126,1.0349269502318195,8955,6,INCIERTO,53
COUSH - CHAOQI,C0535096,12,,-526.5320398223018,592.4160664577399,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C0535096,13,,-34943.36256407674,-9346.795547495525,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C0535096,14,,-80190.7295630745,-77152.89064480146,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C0535096,15,,-113.33303246881403,96.11719277173006,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,3,,0.23990992018187451,1.842079283829051,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,4,,5.774178150790791,7.289919985787247,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,5,,0.8595771692887346,2.298550461537853,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,6,,-0.3737122506454965,0.747777787992767,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,7,,0.4101074998891039,1.0666328083802665,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,8,,1.0494130514388869,1.4262428834593126,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,9,,6.2758589173143395,8.455417082518304,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,10,,-0.18112450695633708,0.3111473233163338,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,11,,-1.146285839103331,1.0349269502318166,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,12,,-526.5320396913371,592.4160654327055,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,13,,-37880.97063329239,-8887.553109383396,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,14,,-80190.76345357162,-77152.85607159275,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C4635096,15,,-105.10327335408795,96.71945190237778,8955,6,SIN SOPORTE,0
COUSH - CHAOQI,C0535100,3,3.1975631188670377,2.661314953745873,3.7338112839554607,8955,6,MEJOR,75
COUSH - CHAOQI,C0535100,4,1.3990734482217002,1.155716052105021,1.6424308443383555,8955,6,MEJOR,851
COUSH - CHAOQI,C0535100,5,0.05522726652637999,-0.16851787834455353,0.27897241139732587,8955,6,INCIERTO,1020
COUSH - CHAOQI,C0535100,6,1.1602835285353317,0.9325807515466454,1.3879863055240214,8955,6,MEJOR,986
COUSH - CHAOQI,C0535100,7,-1.58220221697343,-1.859812789339713,-1.3045916446071968,8955,6,PEOR,1149
COUSH - CHAOQI,C0535100,8,0.3041593902783326,0.12091855715308764,0.48740022340359707,8955,6,MEJOR,782
