,VARIEDAD,SEMANA,BROKER_OPTIMO,GANANCIA_VS_FF,CI_LO,CI_HI,DIRECCION
195,SKEENA,3,SHOUYANG FRUIT,2.2066716929434733,1.9037232160381417,2.5096201698524427,MEJOR
196,SKEENA,4,ANHUI 5 STARS,1.4761434180477857,1.1523923842181998,1.799894451877364,MEJOR
197,SKEENA,5,COUSH - CHAOQI,1.3383938120175625,0.9151502340066813,1.7616373900284077,MEJOR
198,SKEENA,6,JINHUA WUZHOU FRUIT CO. LTD ,1.8482464888955845,1.5943895623762494,2.1021034154149203,MEJOR
199,SKEENA,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
200,SKEENA,8,FAIKEE FRUIT LIMITED,1.569634798914194,1.459497497698759,1.6797720926790487,MEJOR
201,SKEENA,9,COUSH - CHAOQI,0.6243677325546741,0.4774897781932902,0.7712456943666387,MEJOR
202,SKEENA,10,"SHANGHAI FRUITDAY CO.,LTD",0.14927503917715512,0.10007705327002306,0.19847302510611506,MEJOR
203,SKEENA,11,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
204,SKEENA,12,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
205,SKEENA,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
206,SKEENA,14,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
207,SKEENA,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
208,SUE,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
209,SUE,4,SHANGHAI YUQIAN (Z FRUIT),0.4146586394472008,0.2860653601073062,0.5432519187870978,MEJOR
210,SUE,5,SHANGHAI YUQIAN (Z FRUIT),0.2701454930016931,0.15439030889783545,0.3859006771055516,MEJOR
211,SUE,6,SHANGHAI IVCSUN INDUSTRIAL DEV,0.030142468245088594,-0.08014478340338373,0.14042971989361774,INCIERTO
212,SUE,7,SHANGHAI IVCSUN INDUSTRIAL DEV,0.49579882800753694,0.3507573431378324,0.6408403128845174,MEJOR
213,SUE,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
214,SUE,9,SHANGHAI YUQIAN (Z FRUIT),1.223049705896205,0.044080340781546656,2.402019071010863,MEJOR
215,SUE,10,GUANGZHOU QINGUO IMPORT & EXPO,0.051778003573417664,-2.8669950613803206,2.970551575166636,INCIERTO
216,SUE,11,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
217,SUE,12,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
218,SUE,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
219,SUE,14,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
220,SUE,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
221,SWEET ARYANA,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
222,SWEET ARYANA,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
223,SWEET ARYANA,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
224,SWEET ARYANA,6,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
225,SWEET ARYANA,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
226,SWEET ARYANA,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
