BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
ANHUI 5 STARS,XLDD,10,,-0.300714589375148,0.2491405482332576,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,11,,3.09058297257139,13.196812812206872,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,12,,-4.209003256120301,4.250077239296675,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,13,,-100.21883414601216,-81.96020445761788,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,14,,-225.6850499325961,-187.26940474498355,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLDD,15,,232.83572186133546,853.5764590651152,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JD,3,,4.441447765813372,63.057220120110244,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JD,4,-0.0581943104057725,-1.7762986083039989,1.6599099874925494,6649,6,INCIERTO,62
ANHUI 5 STARS,4JD,5,1.903461841315842,1.1039975280323442,2.7029261545990555,6649,6,MEJOR,21
ANHUI 5 STARS,4JD,6,1.3360531907035273,0.4508484747331777,2.2212579066738556,6649,6,MEJOR,65
ANHUI 5 STARS,4JD,7,4.395330886454623,3.4801276004583177,5.3105341724508,6649,6,MEJOR,43
ANHUI 5 STARS,4JD,8,0.9790432076149607,0.5339106867912401,1.4241757284386314,6649,6,MEJOR,52
ANHUI 5 STARS,4JD,9,-5.3921062603742165,-7.270616509482183,-3.5135960112664417,6649,6,PEOR,74
ANHUI 5 STARS,4JD,10,2.772899313974591,1.945995185439398,3.5998034425096987,6649,6,MEJOR,16
ANHUI 5 STARS,4JD,11,1.1216236557089907,-0.11770352032533804,2.360950831743294,6649,6,INCIERTO,46
ANHUI 5 STARS,4JD,12,,-1.079999186334088,0.04446999864284906,6649,6,SIN SOPORTE,3
ANHUI 5 STARS,4JD,13,,-19.906218698069118,-7.652657906431137,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JD,14,,1.531829558832245,3.4219308903629106,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JD,15,,-1292.9466637506812,-942.6334460685066,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JDD,3,,-148.6216457946051,9.605732427682895,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JDD,4,3.3555739765292465,1.8322512842662975,4.87889666879229,6649,6,MEJOR,29
ANHUI 5 STARS,3JDD,5,-0.1554770018162941,-0.9315908124816098,0.6206368088488651,6649,6,INCIERTO,17
ANHUI 5 STARS,3JDD,6,-1.8225014024033221,-6.2810541545892695,2.6360513497829228,6649,6,INCIERTO,14
ANHUI 5 STARS,3JDD,7,5.455950992715932,5.02411528815036,5.887786697281348,6649,6,MEJOR,26
ANHUI 5 STARS,3JDD,8,0.3910912065114198,-0.139488781855317,0.9216711948781494,6649,6,INCIERTO,83
ANHUI 5 STARS,3JDD,9,0.5627065416476711,-0.47979178449587656,1.6052048677918012,6649,6,INCIERTO,63
ANHUI 5 STARS,3JDD,10,3.154035702000378,1.2373600994814835,5.0707113045180074,6649,6,MEJOR,13
ANHUI 5 STARS,3JDD,11,1.5989628659929318,0.7814352064084997,2.416490525577781,6649,6,MEJOR,49
ANHUI 5 STARS,3JDD,12,6.1593851461479066,4.920841349475582,7.39792894282022,6649,6,MEJOR,49
ANHUI 5 STARS,3JDD,13,,-0.9068013828918984,0.1805337865605049,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JDD,14,,-5.666780456079108,-4.392798471068305,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JDD,15,,1.9611379279181111,6.810730001806289,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JD,3,,177.47341658658732,197.91475349408321,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JD,4,-0.9651377449919805,-2.0446792433348335,0.11440375335136754,6649,6,INCIERTO,100
ANHUI 5 STARS,3JD,5,0.263547164225864,-0.17784262820514823,0.704936956656941,6649,6,INCIERTO,154
ANHUI 5 STARS,3JD,6,-0.6468870834764413,-1.185342244763669,-0.10843192218922437,6649,6,PEOR,150
ANHUI 5 STARS,3JD,7,1.6649768871456345,1.4392072707385453,1.8907465035527522,6649,6,MEJOR,192
ANHUI 5 STARS,3JD,8,-0.2291070539014335,-0.7626159045076357,0.3044017967047473,6649,6,INCIERTO,113
ANHUI 5 STARS,3JD,9,0.6626501296783278,-0.2426369508247761,1.5679372101813924,6649,6,INCIERTO,134
ANHUI 5 STARS,3JD,10,1.3959283401111442,0.7797123602630075,2.012144319959238,6649,6,MEJOR,57
ANHUI 5 STARS,3JD,11,0.0976277529654368,-0.736564027167911,0.9318195330987489,6649,6,INCIERTO,70
ANHUI 5 STARS,3JD,12,,1.3970171415560826,4.5965377898727775,6649,6,SIN SOPORTE,7
ANHUI 5 STARS,3JD,13,,-4.246922487313817,-2.2329008692416688,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JD,14,,-9.176607680785,14.0340640171614,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3JD,15,,-2373.086537126974,1829.7254654388503,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2J,3,3.8166566952811927,1.4120632277373422,6.221250162824787,6649,6,MEJOR,23
ANHUI 5 STARS,2J,4,,2.057286387611102,5.767323629792513,6649,6,SIN SOPORTE,9
ANHUI 5 STARS,2J,5,2.858095048563925,2.6804040393925836,3.0357860577352307,6649,6,MEJOR,44
ANHUI 5 STARS,2J,6,-0.07817757922498081,-0.7450731040381124,0.5887179455881444,6649,6,INCIERTO,142
ANHUI 5 STARS,2J,7,-1.0006067915642376,-1.9326631562946763,-0.06855042683396961,6649,6,PEOR,34
ANHUI 5 STARS,2J,8,-1.7082748097315914,-2.483393801354181,-0.9331558181092291,6649,6,PEOR,11
ANHUI 5 STARS,2J,9,-3.8521178972232484,-4.53986553015658,-3.1643702642899436,6649,6,PEOR,62
ANHUI 5 STARS,2J,10,-0.02578702057093807,-0.3007145893741961,0.2491405482323057,6649,6,INCIERTO,23
ANHUI 5 STARS,2J,11,,3.0905829725602967,13.196812812158889,6649,6,SIN SOPORTE,5
ANHUI 5 STARS,2J,12,,-4.209003256150946,4.25007723929094,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2J,13,,-100.21883419648356,-81.96020447361963,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2J,14,,-225.68504995835656,-187.26940476848858,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2J,15,,232.83572185157283,853.5764590668051,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JD,3,,246.16973045387599,412.62305726494344,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JD,4,3.3143299047362778,2.7115548446642315,3.9171049648083986,6649,6,MEJOR,77
ANHUI 5 STARS,2JD,5,0.8731543010660876,0.5829807824431237,1.1633278196890586,6649,6,MEJOR,255
ANHUI 5 STARS,2JD,6,0.25765894412685775,-0.024866735729393075,0.5401846239831121,6649,6,INCIERTO,241
ANHUI 5 STARS,2JD,7,0.029779081666118756,-0.2779648440220447,0.33752300735428037,6649,6,INCIERTO,241
ANHUI 5 STARS,2JD,8,0.9037678671261009,0.6654612393974044,1.1420744948547672,6649,6,MEJOR,189
ANHUI 5 STARS,2JD,9,1.214892714690575,0.44313059847047964,1.9866548309106968,6649,6,MEJOR,144
ANHUI 5 STARS,2JD,10,-4.317060133480165,-5.976108227542051,-2.6580120394183187,6649,6,PEOR,72
ANHUI 5 STARS,2JD,11,0.537503789562991,-0.34677102990525455,1.4217786090311795,6649,6,INCIERTO,70
ANHUI 5 STARS,2JD,12,-0.42537803115229167,-1.4584599574660875,0.6077038951616176,6649,6,INCIERTO,10
ANHUI 5 STARS,2JD,13,,-1.3840527829282978,0.1417462696788483,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JD,14,,1.3205324299806733,2.231935292479721,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JD,15,,-26.178949915453327,36.50207338720652,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3J,3,7.263288542096092,4.593907745877658,9.932669338313872,6649,6,MEJOR,11
ANHUI 5 STARS,3J,4,,3.6222266527561855,6.789562637532125,6649,6,SIN SOPORTE,6
ANHUI 5 STARS,3J,5,3.0261704269658196,2.749452947389785,3.3028879065336048,6649,6,MEJOR,48
ANHUI 5 STARS,3J,6,-0.9400625234188984,-1.9468329930485915,0.06670794621080689,6649,6,INCIERTO,125
ANHUI 5 STARS,3J,7,-1.9934949796220138,-3.1992559569608967,-0.7877340022831028,6649,6,PEOR,36
ANHUI 5 STARS,3J,8,-3.765201696310779,-4.101884549882423,-3.4285188427391704,6649,6,PEOR,24
ANHUI 5 STARS,3J,9,-5.218111999285718,-6.024032819699599,-4.412191178871609,6649,6,PEOR,17
ANHUI 5 STARS,3J,10,0.47450151543933927,0.2265029035635295,0.7225001273179343,6649,6,MEJOR,16
ANHUI 5 STARS,3J,11,,2.8441960158960367,10.975828238603548,6649,6,SIN SOPORTE,7
ANHUI 5 STARS,3J,12,,27.069632359543064,98.89815217484002,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3J,13,,975.0490984869251,1222.1644545845625,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3J,14,,-0.5733437219873095,1.41028391238605,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,3J,15,,-548.4041064366666,-423.5322413650192,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4J,3,,-0.15089903550760475,22.32379712093624,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4J,4,,-17197.235026880102,-10267.17930884759,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4J,5,3.631455834529339,3.0567501913974366,4.206161477661195,6649,6,MEJOR,23
ANHUI 5 STARS,4J,6,7.262179776739615,5.21052095072998,9.313838602748964,6649,6,MEJOR,16
ANHUI 5 STARS,4J,7,,1.5675035067791159,7.404516049348972,6649,6,SIN SOPORTE,9
ANHUI 5 STARS,4J,8,,1.6656967930770388,2.6527092921448703,6649,6,SIN SOPORTE,5
ANHUI 5 STARS,4J,9,,-11.157142148978647,-7.139656012072923,6649,6,SIN SOPORTE,9
ANHUI 5 STARS,4J,10,1.955382871182298,1.3890992422653266,2.5216665000990206,6649,6,MEJOR,13
ANHUI 5 STARS,4J,11,,4.226647557977657,27.289205235284783,6649,6,SIN SOPORTE,4
ANHUI 5 STARS,4J,12,,118.15063012939774,135.43921482237218,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4J,13,,-553.9089430548667,424.7974989907998,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4J,14,,0.5118098951484211,6.23120803123103,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4J,15,,13.471524003138327,169.0903454147682,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,3,,1.4120632277382672,6.221250162826058,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,4,,2.0572863876109486,5.767323629793035,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,5,,2.6804040393929265,3.035786057734817,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,6,,-0.745073104038109,0.5887179455881376,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,7,,-1.9326631562947063,-0.06855042683408186,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,8,,-2.4833938013542163,-0.9331558181089528,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,9,,-4.539865530156599,-3.164370264289958,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,10,,-0.30071458937547096,0.24914054823359477,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,11,,3.0905829725441514,13.196812812139818,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,12,,-4.209003256155834,4.25007723930265,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,13,,-100.21883395764803,-81.96020468618894,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,14,,-225.68504996043004,-187.26940477712532,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD ,15,,232.8357218709467,853.5764590757728,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,3,,-453.5896280920705,92.76354975701435,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,4,-20.917412873292545,-24.040305760334387,-17.79451998625073,6649,6,PEOR,24
ANHUI 5 STARS,4JDD,5,,-2518.9000772547643,-488.04143901795953,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,6,,3.011295786574392,7.428525261720511,6649,6,SIN SOPORTE,1
ANHUI 5 STARS,4JDD,7,,7.552154970525498,14.903075112085668,6649,6,SIN SOPORTE,3
ANHUI 5 STARS,4JDD,8,,157.18144751959528,474.57840017355,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,9,-0.8981403796787788,-3.1622212064637076,1.3659404471061283,6649,6,INCIERTO,22
ANHUI 5 STARS,4JDD,10,,-0.9911402135657346,8.547715178403399,6649,6,SIN SOPORTE,3
ANHUI 5 STARS,4JDD,11,,-0.10176952262074912,2.1318712777453728,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,12,6.23225440082215,5.114615362030161,7.349893439614112,6649,6,MEJOR,27
ANHUI 5 STARS,4JDD,13,,19.316182036386436,44.350659181334066,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,14,,-0.8656049764476006,3.8254631481313623,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,4JDD,15,,-1528.5251548424906,-1437.446535790036,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,3,,1.4120632277358758,6.221250162824811,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,4,,2.05728638761091,5.767323629792662,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,5,,2.680404039392889,3.0357860577349247,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,6,,-0.7450731040380978,0.5887179455881473,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,7,,-1.9326631562947392,-0.06855042683403478,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,8,,-2.4833938013541883,-0.9331558181091508,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,9,,-4.539865530156531,-3.1643702642899734,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,10,,-0.3007145893742066,0.24914054823244403,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,11,,3.0905829725610925,13.196812812181314,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,12,,-4.209003256209485,4.250077239382221,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,13,,-100.21883387522934,-81.96020475065058,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,14,,-225.68504995199325,-187.26940475331145,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JDD,15,,232.83572185923276,853.5764590831559,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JD,3,,1.4120632277367355,6.221250162824655,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,5JD,4,,2.0572863876110983,5.7673236297927994,6649,6,SIN SOPORTE,0
