BROKER,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
GUANGZHOU QINGUO IMPORT & EXPO,15,,-3.128073126466908,3.317919498296686,12288,6,SIN SOPORTE,0
SHOUYANG FRUIT,3,0.06388407688871522,-0.04608425460359149,0.1738524083810219,14985,6,INCIERTO,480
SHOUYANG FRUIT,4,0.2505587267983371,0.19271075265300708,0.3084067009436672,14985,6,MEJOR,1123
SHOUYANG FRUIT,5,-0.04558736697749925,-0.07021510101789266,-0.020959632937105822,14985,6,PEOR,1984
SHOUYANG FRUIT,6,0.10681398178480245,0.08835537061569128,0.12527259295391352,14985,6,MEJOR,2745
SHOUYANG FRUIT,7,0.02560726799221204,-0.0057293127640482035,0.05694384874847226,14985,6,INCIERTO,2642
SHOUYANG FRUIT,8,-0.037035543505988366,-0.07667250043518735,0.0026014134232106648,14985,6,INCIERTO,1632
SHOUYANG FRUIT,9,0.1705175396251863,0.13124812509926834,0.2097869541511042,14985,6,MEJOR,1841
SHOUYANG FRUIT,10,-0.07698102611404585,-0.12953683533746196,-0.024425216890629813,14985,6,PEOR,935
SHOUYANG FRUIT,11,0.2524457737119998,0.21456967077227307,0.2903218766517266,14985,6,MEJOR,705
SHOUYANG FRUIT,12,0.6920912390600549,0.6051507874987657,0.7790316906213439,14985,6,MEJOR,523
SHOUYANG FRUIT,13,0.5578629402004164,0.4936625743240981,0.6220633060767349,14985,6,MEJOR,242
SHOUYANG FRUIT,14,0.893148677420182,0.7292316449380369,1.0570657099023268,14985,6,MEJOR,133
SHOUYANG FRUIT,15,,-0.7683503951906452,1.6386864455264656,14985,6,SIN SOPORTE,0
ANHUI 5 STARS,3,0.7700074250587223,0.2604742551942383,1.2795405949232062,6649,6,MEJOR,76
ANHUI 5 STARS,4,0.30876008739351424,0.19632096266440482,0.4211992121226233,6649,6,MEJOR,559
ANHUI 5 STARS,5,0.2175380632313549,0.1851827462890909,0.2498933801736188,6649,6,MEJOR,1062
ANHUI 5 STARS,6,0.05211685592084421,0.007293405256092449,0.09694030658559588,6649,6,MEJOR,1241
ANHUI 5 STARS,7,0.23763220605896132,0.18692442856371325,0.28833998355420953,6649,6,MEJOR,957
ANHUI 5 STARS,8,0.026163779052454143,-0.01870622590797493,0.07103378401288324,6649,6,INCIERTO,953
ANHUI 5 STARS,9,-0.2962493758762553,-0.3550628797108758,-0.23743587204163485,6649,6,PEOR,859
ANHUI 5 STARS,10,0.05946720222183638,-0.04379904087474107,0.16273344531841383,6649,6,INCIERTO,259
ANHUI 5 STARS,11,0.15280303755710267,0.07960621843523358,0.22599985667897163,6649,6,MEJOR,496
ANHUI 5 STARS,12,0.906527374838334,0.7970072543303669,1.016047495346301,6649,6,MEJOR,187
ANHUI 5 STARS,13,,2.970054465013895,26.933100581099502,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,14,,-3.372163988275079,10.025958369384323,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,15,,-31.026704951232162,57.60462496400791,6649,6,SIN SOPORTE,0
JINHUA WUZHOU FRUIT CO. LTD ,3,-0.7627740531471036,-0.8619726710380899,-0.663575435256117,19676,6,PEOR,110
JINHUA WUZHOU FRUIT CO. LTD ,4,0.28365841811383197,0.23329207053086035,0.33402476569680356,19676,6,MEJOR,1564
JINHUA WUZHOU FRUIT CO. LTD ,5,0.23418746344529393,0.1945208173875861,0.2738541095030016,19676,6,MEJOR,2018
JINHUA WUZHOU FRUIT CO. LTD ,6,0.4185001642318978,0.3874199054953728,0.44958042296842277,19676,6,MEJOR,3256
JINHUA WUZHOU FRUIT CO. LTD ,7,0.05128135038770287,0.03176804599244348,0.07079465478296229,19676,6,MEJOR,2639
JINHUA WUZHOU FRUIT CO. LTD ,8,0.3417697585203892,0.31328659663106295,0.37025292040971547,19676,6,MEJOR,3074
JINHUA WUZHOU FRUIT CO. LTD ,9,-0.23824561152527363,-0.30442496625399124,-0.1720662567965561,19676,6,PEOR,2062
JINHUA WUZHOU FRUIT CO. LTD ,10,-0.6529304945350906,-0.7198036527448239,-0.5860573363253583,19676,6,PEOR,1597
JINHUA WUZHOU FRUIT CO. LTD ,11,-0.07786688365438028,-0.11564865738041193,-0.04008510992834859,19676,6,PEOR,1866
JINHUA WUZHOU FRUIT CO. LTD ,12,0.4128865984407466,0.3573095671213219,0.46846362976017186,19676,6,MEJOR,894
JINHUA WUZHOU FRUIT CO. LTD ,13,-0.048894115610006214,-0.11410111103931493,0.01631287981930246,19676,6,INCIERTO,412
JINHUA WUZHOU FRUIT CO. LTD ,14,0.5154382715970836,0.3693570181951066,0.6615195249990605,19676,6,MEJOR,167
JINHUA WUZHOU FRUIT CO. LTD ,15,2.3197171657399713,1.583456918630668,3.0559774128492707,19676,6,MEJOR,17
COUSH - CHAOQI,3,0.3535141115338946,0.1736834988161165,0.5333447242516727,8955,6,MEJOR,166
COUSH - CHAOQI,4,0.3592468523078578,0.31501239267536496,0.40348131194035064,8955,6,MEJOR,917
COUSH - CHAOQI,5,-0.04843847227337502,-0.10114886963231035,0.004271925085560312,8955,6,INCIERTO,1246
COUSH - CHAOQI,6,0.24823602866476902,0.20496490998104433,0.2915071473484936,8955,6,MEJOR,1342
COUSH - CHAOQI,7,-0.206042127311124,-0.2578312643371309,-0.15425299028511694,8955,6,PEOR,1428
COUSH - CHAOQI,8,0.13929994283225725,0.10501790033740788,0.17358198532710656,8955,6,MEJOR,1141
COUSH - CHAOQI,9,0.23799631413629835,0.14883989595749259,0.3271527323151041,8955,6,MEJOR,1059
COUSH - CHAOQI,10,0.006511205697315049,-0.06062406170987877,0.07364647310450885,8955,6,INCIERTO,406
COUSH - CHAOQI,11,-0.18587961020644772,-0.24175670774996372,-0.13000251266293178,8955,6,PEOR,540
COUSH - CHAOQI,12,0.5609377041518665,0.49254536709808555,0.6293300412056481,8955,6,MEJOR,477
COUSH - CHAOQI,13,0.4258875879674331,0.36148202803905516,0.49029314789581097,8955,6,MEJOR,134
COUSH - CHAOQI,14,-0.07167023292272659,-0.27855273303678946,0.13521226719133622,8955,6,INCIERTO,99
COUSH - CHAOQI,15,,-2.7821202045795013,-1.735179822187876,8955,6,SIN SOPORTE,0
HING LEE AND COMPANY,3,0.8498973496867892,0.6188259299488096,1.0809687694247687,12982,6,MEJOR,172
HING LEE AND COMPANY,4,0.38015126065041627,0.30940165053707364,0.4509008707637589,12982,6,MEJOR,1065
HING LEE AND COMPANY,5,0.18809357507927524,0.15131763110572616,0.22486951905282448,12982,6,MEJOR,1513
HING LEE AND COMPANY,6,-0.04200954196254269,-0.0819823028360345,-0.002036781089050893,12982,6,PEOR,2524
HING LEE AND COMPANY,7,0.005250444676060091,-0.026710469992457634,0.0372113593445778,12982,6,INCIERTO,1938
HING LEE AND COMPANY,8,0.21679365329320377,0.17046722013234972,0.2631200864540578,12982,6,MEJOR,1039
HING LEE AND COMPANY,9,0.15012477278312814,0.09506510527385958,0.20518444029239674,12982,6,MEJOR,1605
HING LEE AND COMPANY,10,-0.015637484780891883,-0.0724382149925924,0.04116324543080863,12982,6,INCIERTO,1201
HING LEE AND COMPANY,11,-0.04673708148850689,-0.08694538422583478,-0.006528778751178972,12982,6,PEOR,850
HING LEE AND COMPANY,12,0.6501964415250094,0.6124371670883768,0.6879557159616423,12982,6,MEJOR,705
HING LEE AND COMPANY,13,-0.4449096905681608,-0.6153620437085072,-0.27445733742781475,12982,6,PEOR,193
HING LEE AND COMPANY,14,1.0178441384020362,0.8885600658843422,1.1471282109197298,12982,6,MEJOR,177
HING LEE AND COMPANY,15,,-42.96060672405061,15.623315349212936,12982,6,SIN SOPORTE,0
HEMA,3,,-2.7950818270200557,14.15547776995401,3162,5,SIN SOPORTE,0
HEMA,4,-1.3595324617374582,-1.5181262922395147,-1.2009386312354005,3162,5,PEOR,52
HEMA,5,0.4482112183164633,0.37786347496989303,0.5185589616630337,3162,5,MEJOR,275
HEMA,6,-0.11930691308828574,-0.15046188799410995,-0.08815193818246155,3162,5,PEOR,586
HEMA,7,-0.026682071426164158,-0.0840498344606459,0.03068569160831759,3162,5,INCIERTO,532
HEMA,8,0.08861243566828651,0.04829505016741848,0.12892982116915452,3162,5,MEJOR,313
HEMA,9,-0.038799741952384885,-0.17995241820427121,0.10235293429950143,3162,5,INCIERTO,638
HEMA,10,0.11923855248202812,0.04957029635320992,0.1889068086108464,3162,5,MEJOR,246
HEMA,11,0.17686211952446643,0.1277281716663449,0.22599606738258796,3162,5,MEJOR,254
HEMA,12,0.7133258650836083,0.6256754538920926,0.800976276275124,3162,5,MEJOR,212
HEMA,13,0.3698761101734341,0.215809333721038,0.5239428866258301,3162,5,MEJOR,54
HEMA,14,,0.1320471682041813,0.5858991738172502,3162,5,SIN SOPORTE,0
HEMA,15,,0.18209767872202964,0.5876096343854631,3162,5,SIN SOPORTE,0
"WDJ UNISUPPLYING CO.,LTD ",3,-0.019782237502389024,-0.3567508796507566,0.31718640464597536,5075,6,INCIERTO,48
