BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
SHENYANG QUPAI TRADING CO. LTD,5JDD,9,-0.17774043287755714,-0.25110041059642957,-0.10438045515868384,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,10,0.018504292244346132,-0.06446181930738748,0.10147040379607972,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JDD,11,-0.2107320544827913,-0.32186145371803343,-0.09960265524767443,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,12,0.12203203210728475,-0.05869906885946313,0.30276313307357783,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JDD,13,-0.32433391644008225,-0.5911552487161298,-0.05751258416767269,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,14,-0.39553695098743447,-0.5598107728292012,-0.23126312914566774,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JDD,15,-1.509427195858052,-2.105225828014606,-0.9136285637019527,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JD,3,1.5082938623692166,1.096986785701468,1.9196009390346531,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JD,4,0.42914318268177,0.3425622616514467,0.5157241037121039,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JD,5,0.3218368393221729,0.25716640452516576,0.3865072741191693,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JD,6,-0.08949939412033873,-0.11719148846894897,-0.06180729977172864,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JD,7,0.05134068640104239,0.014743571458384702,0.08793780134370363,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5JD,8,0.012792632428086037,-0.054069061461899035,0.0796543263180711,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JD,9,-0.1777404328775558,-0.2511004105964302,-0.10438045515868369,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JD,10,0.018504292244340803,-0.0644618193073846,0.10147040379608394,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JD,11,-0.20231286833178896,-0.3068980556164158,-0.09772768104658303,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JD,12,0.12203203210739844,-0.05869906885930143,0.30276313307387087,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JD,13,-0.37988351364640494,-1.4483723603710648,0.688605333078141,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5JD,14,-0.3955369509869797,-0.5598107728222352,-0.23126312915172426,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5JD,15,-1.6111112841308568,-2.4185086948093257,-0.8037138734751257,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5J,3,1.5082938623679798,1.0969867857017688,1.9196009390340745,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5J,4,0.4291431826817744,0.342562261651452,0.5157241037121075,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5J,5,0.32183683932220486,0.2571664045251731,0.38650727411917624,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5J,6,-0.08949939412033803,-0.11719148846894838,-0.06180729977172787,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5J,7,0.05134068640104772,0.014743571458389636,0.0879378013437058,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,5J,8,0.01279263242808426,-0.05406906146190138,0.07965432631806987,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5J,9,-0.1777404328775567,-0.25110041059643023,-0.10438045515868494,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5J,10,0.018504292244353238,-0.06446181930738475,0.10147040379608055,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5J,11,-0.21073205448348165,-0.32186145372049013,-0.09960265524753543,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5J,12,0.12203203210714264,-0.05869906885927745,0.30276313307390373,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,5J,13,-0.32433391644281073,-0.5911552487308114,-0.057512584151172164,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5J,14,-0.3955369509872071,-0.5598107728258886,-0.23126312914898034,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,5J,15,-1.5393976608511366,-2.076422923698292,-1.0023723980203525,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,LDD,3,1.5082938623678768,1.0969867857024147,1.9196009390358006,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,LDD,4,0.42914318268177887,0.3425622616514541,0.515724103712109,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,LDD,5,0.32183683932219864,0.25716640452519135,0.3865072741191952,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,LDD,6,-0.08949939412033864,-0.11719148846894836,-0.06180729977172786,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,LDD,7,0.05134068640104417,0.014743571458383072,0.08793780134370525,60297,6,MEJOR
SHENYANG QUPAI TRADING CO. LTD,LDD,8,0.012792632428087813,-0.05406906146189924,0.07965432631807486,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,LDD,9,-0.17774043287755759,-0.25110041059643,-0.10438045515868384,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,LDD,10,0.01850429224434791,-0.06446181930738173,0.10147040379608464,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,LDD,11,-0.21073205448260657,-0.3218614537179061,-0.09960265524765877,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,LDD,12,0.12203203210739844,-0.0586990688593412,0.3027631330736833,60297,6,INCIERTO
SHENYANG QUPAI TRADING CO. LTD,LDD,13,-0.32433391644099174,-0.5911552487110838,-0.057512584174537695,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,LDD,14,-0.39553695098766184,-0.5598107728349119,-0.2312631291385929,60297,6,PEOR
SHENYANG QUPAI TRADING CO. LTD,LDD,15,-1.50942719585737,-2.1052258279198925,-0.9136285638112183,60297,6,PEOR
SHOUYANG FRUIT,J,3,0.219726406889996,-0.004059819569140172,0.4435126333475494,14985,6,INCIERTO
SHOUYANG FRUIT,J,4,-0.07102423756437592,-0.23875716699600968,0.09670869186726447,14985,6,INCIERTO
SHOUYANG FRUIT,J,5,0.029650951959565797,-0.03318643235309322,0.09248833627205738,14985,6,INCIERTO
SHOUYANG FRUIT,J,6,0.17372811727893978,0.1398761395597269,0.20758009499815178,14985,6,MEJOR
SHOUYANG FRUIT,J,7,0.04696191028454244,-0.007947411340239553,0.10187123190937417,14985,6,INCIERTO
SHOUYANG FRUIT,J,8,0.02835596763670223,-0.05413911885678628,0.11085105413018984,14985,6,INCIERTO
